Season,Total in Month, Avg Agent Age, Avg Agent SI
january, 495,1003.8731689453125,6817.8623046875
february, 437,1031.291015625,7831.55712890625
march, 367,1050.4779052734375,9351.6826171875
april, 346,1030.233154296875,9754.51953125
may, 367,1041.5804443359375,9202.5849609375
june, 406,1026.9105224609375,8313.9951171875
july, 440,992.123291015625,7558.7041015625
august, 476,950.429931640625,6959.67431640625
september, 520,946.5767211914062,6376.46875
october, 550,950.1776123046875,6023.34521484375
november, 557,969.7202758789062,5949.595703125
december, 538,979.8485717773438,6150.435546875
