Season,Total in Month, Avg Agent Age, Avg Agent SI
january, 512,1089.0086669921875,6526.8310546875
february, 463,1105.206787109375,7207.85302734375
march, 398,1101.0477294921875,8320.291015625
april, 379,1088.4539794921875,8765.65234375
may, 376,1096.9522705078125,8847.3671875
june, 390,1087.341552734375,8539.0498046875
july, 418,1069.758056640625,7924.0009765625
august, 445,1063.8104248046875,7450.5869140625
september, 496,1050.834716796875,6685.16015625
october, 534,1066.9326171875,6222.90869140625
november, 542,1092.603515625,6142.72314453125
december, 532,1098.2135009765625,6263.56591796875
