Season,Total in Month, Avg Agent Age, Avg Agent SI
january, 436,1129.1527099609375,7522.8388671875
february, 388,1142.0050048828125,8488.2763671875
march, 341,1107.9288330078125,9642.5576171875
april, 343,1009.0643310546875,9634.66796875
may, 363,1001.2988891601562,9021.017578125
june, 384,999.962890625,8525.4091796875
july, 414,984.89990234375,7871.93408203125
august, 451,976.09716796875,7239.6015625
september, 480,975.6277465820312,6824.6396484375
october, 497,975.8656005859375,6608.59423828125
november, 494,967.6513061523438,6662.92236328125
december, 472,976.552734375,6970.70947265625
