Season,Total in Month, Avg Agent Age, Avg Agent SI
january, 472,1036.345947265625,6955.384765625
february, 441,1027.83154296875,7438.95947265625
march, 394,1017.914794921875,8343.646484375
april, 381,1004.6995239257812,8610.6171875
may, 391,1002.5733032226562,8383.8525390625
june, 404,996.64111328125,8110.59619140625
july, 453,983.634765625,7231.59912109375
august, 507,975.9415283203125,6462.2236328125
september, 541,986.063232421875,6073.8720703125
october, 564,992.6887817382812,5840.62890625
november, 557,987.4452514648438,5910.49072265625
december, 530,983.9312744140625,6234.2587890625
